Time,Power - Solarpanels - L1,Power - Solarpanels - L2,Power - Solarpanels - L3,Total solar production
1617732000000.00,-47,-47,-25,-119
1617753600000.00,377,366,380,1123
1617775200000.00,40327,39994,39225,119546
1617796800000.00,666,654,666,1986
1617818400000.00,-97,-56,10,-143
1617840000000.00,1495,1487,1474,4456
1617861600000.00,38522,38157,37432,114111
1617883200000.00,1202,1188,1192,3582
1617904800000.00,-47,-45,-25,-117
1617926400000.00,2948,2920,2887,8755
1617948000000.00,42189,41862,40999,125050
1617969600000.00,1315,1307,1302,3924
1617991200000.00,-46,-46,-25,-117
1618012800000.00,971,965,961,2897
1618034400000.00,9697,9630,9437,28764
1618056000000.00,343,345,355,1043
1618077600000.00,-49,-46,-23,-118
1618099200000.00,1216,1213,1202,3631
1618120800000.00,46123,45775,44927,136825
1618142400000.00,1214,1210,1194,3618
1618164000000.00,-46,-45,-25,-116
1618185600000.00,1327,1310,1303,3940
1618207200000.00,24298,24102,23611,72011
1618228800000.00,1488,1472,1463,4423
1618250400000.00,-47,-46,-24,-117
1618272000000.00,4334,4308,4233,12875
1618293600000.00,42751,42376,41538,126665
1618315200000.00,1625,1619,1604,4848
1618336800000.00,-49,-46,-23,-118
1618358400000.00,2105,2095,2063,6263
1618380000000.00,18470,18314,17947,54731
1618401600000.00,1819,1805,1791,5415
1618423200000.00,-46,-46,-24,-116
1618444800000.00,4630,4596,4513,13739
1618466400000.00,12449,12352,12240,37041
1618488000000.00,1178,1178,1170,3526
1618509600000.00,-46,-45,-23,-114
1618531200000.00,4892,4822,4677,14391
1618552800000.00,43952,43561,42714,130227
1618574400000.00,1407,1399,1387,4193
1618596000000.00,-47,-45,-23,-115
1618617600000.00,4740,4706,4629,14075
1618639200000.00,41622,41264,40486,123372
1618660800000.00,1866,1853,1837,5556
1618682400000.00,-47,-46,-24,-117
1618704000000.00,4577,4573,4578,13728
1618725600000.00,40797,40433,39697,120927
1618747200000.00,2220,2198,2175,6593
1618768800000.00,-46,-46,-24,-116
1618790400000.00,4235,4195,4132,12562
1618812000000.00,39234,38844,38103,116181
1618833600000.00,1788,1766,1748,5302
1618855200000.00,-48,-46,-25,-119
1618876800000.00,3249,3225,3172,9646
1618898400000.00,38293,37962,37210,113465
1618920000000.00,2093,2074,2049,6216
1618941600000.00,-47,-47,-23,-117
1618963200000.00,5316,5241,5079,15636
1618984800000.00,36785,36422,35822,109029
1619006400000.00,2466,2455,2417,7338
1619028000000.00,-48,-45,-26,-119
1619049600000.00,6408,6355,6239,19002
1619071200000.00,40341,40009,39230,119580
1619092800000.00,2968,2946,2890,8804
1619114400000.00,-47,-45,-25,-117
1619136000000.00,6359,6295,6183,18837
1619157600000.00,41139,40777,39937,121853
1619179200000.00,2918,2896,2859,8673
1619200800000.00,-49,-45,-25,-119
1619222400000.00,5778,5728,5645,17151
1619244000000.00,40241,39818,39490,119549
1619265600000.00,3253,3228,3191,9672
1619287200000.00,-47,-45,-24,-116
1619308800000.00,5302,5258,5184,15744
1619330400000.00,41323,41020,40311,122654
1619352000000.00,3403,3343,3234,9980
1619373600000.00,-49,-46,-25,-120
1619395200000.00,6467,6424,6303,19194
1619416800000.00,41272,40912,40126,122310
1619438400000.00,3260,3196,3092,9548
1619460000000.00,-47,-47,-24,-118
1619481600000.00,4725,4682,4606,14013
1619503200000.00,39210,38818,38116,116144
1619524800000.00,2839,2807,2777,8423
1619546400000.00,-97,-59,11,-145
1619568000000.00,3264,3236,3190,9690
1619589600000.00,29720,29430,29114,88264
1619611200000.00,352,346,357,1055
1619632800000.00,-96,-59,9,-146
1619654400000.00,61,54,76,191
1619676000000.00,4780,4735,4648,14163
1619697600000.00,3533,3501,3441,10475
1619719200000.00,-47,-47,-26,-120
1619740800000.00,8847,8761,8611,26219
1619762400000.00,26924,26692,26141,79757
1619784000000.00,4048,4016,3948,12012
1619805600000.00,-46,-46,-25,-117
1619827200000.00,7147,7112,7105,21364
1619848800000.00,14888,14731,14492,44111
1619870400000.00,4279,4232,4179,12690
1619892000000.00,-47,-47,-25,-119
1619913600000.00,7425,7366,7244,22035
1619935200000.00,45286,44925,44112,134323
1619956800000.00,4509,4475,4395,13379
1619978400000.00,-48,-47,-24,-119
1620000000000.00,8558,8489,8340,25387
1620021600000.00,15456,15323,15029,45808
1620043200000.00,2681,2661,2632,7974
1620064800000.00,-48,-46,-25,-119
1620086400000.00,1067,1047,1051,3165
1620108000000.00,18582,18410,18082,55074
1620129600000.00,833,822,830,2485
1620151200000.00,-46,-46,-26,-118
1620172800000.00,4966,4917,4835,14718
1620194400000.00,10878,10771,10600,32249
1620216000000.00,5451,5402,5316,16169
1620237600000.00,-46,-47,-25,-118
1620259200000.00,8426,8346,8196,24968
1620280800000.00,8233,8140,8002,24375
1620302400000.00,5381,5320,5188,15889
1620324000000.00,-45,-47,-32,-124
1620345600000.00,2639,2606,2581,7826
1620367200000.00,45854,45463,44489,135806
1620388800000.00,3363,3326,3286,9975
1620410400000.00,-48,-47,-24,-119
1620432000000.00,1542,1536,1524,4602
1620453600000.00,16805,16634,16355,49794
1620475200000.00,4143,4106,4041,12290
1620496800000.00,-46,-46,-25,-117
1620518400000.00,3344,3317,3276,9937
1620540000000.00,37072,36733,36099,109904
1620561600000.00,270,273,286,829
1620583200000.00,-48,-48,-24,-120
1620604800000.00,664,647,660,1971
1620626400000.00,44219,43703,43270,131192
1620648000000.00,2333,2307,2291,6931
1620669600000.00,-47,-46,-26,-119
1620691200000.00,7200,7133,7027,21360
1620712800000.00,32359,32022,31481,95862
1620734400000.00,4966,4926,4856,14748
1620756000000.00,-47,-48,-26,-121
1620777600000.00,5423,5367,5274,16064
1620799200000.00,42010,41576,40817,124403
1620820800000.00,2383,2367,2343,7093
1620842400000.00,-47,-47,-25,-119
1620864000000.00,1402,1383,1379,4164
1620885600000.00,8879,8806,8772,26457
1620907200000.00,3662,3618,3574,10854
1620928800000.00,-47,-47,-25,-119
1620950400000.00,5120,5062,4991,15173
1620972000000.00,13127,12993,12759,38879
1620993600000.00,4368,4317,4260,12945
1621015200000.00,-48,-46,-25,-119
1621036800000.00,391,379,400,1170
1621058400000.00,6451,6370,6284,19105
1621080000000.00,7901,7806,7642,23349
1621101600000.00,-48,-47,-25,-120
1621123200000.00,10016,9913,9765,29694
1621144800000.00,40723,40246,39550,120519
1621166400000.00,1017,1000,1008,3025
1621188000000.00,-48,-46,-25,-119
1621209600000.00,1399,1385,1381,4165
1621231200000.00,37801,37315,36815,111931
1621252800000.00,2039,2020,1999,6058
1621274400000.00,-48,-46,-24,-118
1621296000000.00,7382,7301,7179,21862
1621317600000.00,38974,38544,37825,115343
1621339200000.00,8287,8192,8068,24547
1621360800000.00,-47,-46,-26,-119
1621382400000.00,13965,13821,13594,41380
1621404000000.00,2411,2384,2369,7164
1621425600000.00,4712,4659,4603,13974
1621447200000.00,-47,-47,-24,-118
1621468800000.00,10424,10334,10136,30894
1621490400000.00,27826,27568,27075,82469
1621512000000.00,3560,3531,3484,10575
1621533600000.00,-47,-47,-25,-119
1621555200000.00,1860,1838,1827,5525
1621576800000.00,45378,44928,44120,134426
1621598400000.00,7032,6962,6865,20859
1621620000000.00,-47,-46,-25,-118
1621641600000.00,1618,1641,1679,4938
1621663200000.00,4466,4436,4352,13254
1621684800000.00,5468,5428,5336,16232
1621706400000.00,-97,-58,10,-145
1621728000000.00,11070,10981,10775,32826
1621749600000.00,19281,19123,18755,57159
1621771200000.00,1676,1667,1650,4993
1621792800000.00,-48,-46,-24,-118
1621814400000.00,1968,1945,1931,5844
1621836000000.00,38181,37769,37390,113340
1621857600000.00,2584,2565,2529,7678
1621879200000.00,-47,-46,-25,-118
1621900800000.00,7080,7012,6891,20983
1621922400000.00,24818,24600,24165,73583
1621944000000.00,4547,4503,4440,13490
1621965600000.00,-47,-48,-26,-121
1621987200000.00,7860,7799,7657,23316
1622008800000.00,11413,11328,11095,33836
1622030400000.00,8505,8430,8271,25206
1622052000000.00,-46,-46,-24,-116
1622073600000.00,11205,11110,10889,33204
1622095200000.00,30118,29860,29465,89443
1622116800000.00,7471,7410,7265,22146
1622138400000.00,-48,-46,-24,-118
1622160000000.00,7287,7216,7103,21606
1622181600000.00,42368,42010,41182,125560
1622203200000.00,7781,7717,7580,23078
1622224800000.00,-47,-46,-25,-118
1622246400000.00,12389,12266,12066,36721
1622268000000.00,42773,42385,41908,127066
1622289600000.00,7524,7451,7334,22309
1622311200000.00,-47,-47,-25,-119
1622332800000.00,11773,11658,11475,34906
1622354400000.00,43661,43274,42454,129389
1622376000000.00,7337,7274,7160,21771
1622397600000.00,-47,-47,-26,-120
1622419200000.00,11133,11027,10834,32994
1622440800000.00,42042,41661,40833,124536
1622462400000.00,7201,7107,6934,21242
1622484000000.00,-48,-47,-25,-120
1622505600000.00,802,795,806,2403
1622527200000.00,4338,4294.5,4203.5,12836
1622548800000.00,7874,7794,7601,23269
1622570400000.00,-48,-47,-24,-119
1622592000000.00,12039,11956,11857,35852
1622613600000.00,41136,40798,39983,121917
1622635200000.00,2446,2424,2401,7271
1622656800000.00,-73,-43,33,-83
1622678400000.00,13693,13567,13329,40589
1622700000000.00,42370,41955,41104,125429
1622721600000.00,6184,6126,6020,18330
1622743200000.00,-49,-46,-25,-120
1622764800000.00,11381,11261,11064,33706
1622786400000.00,12592,12476,12237,37305
1622808000000.00,131,153,184,468
1622829600000.00,-82,-60,-26,-168
1622851200000.00,614,611,624,1849
1622872800000.00,12871,12774,12695,38340
1622894400000.00,5241,5226,5233,15700
1622916000000.00,-74,-43,31,-86
1622937600000.00,11904,11788,11685,35377
1622959200000.00,41457,41124,40362,122943
1622980800000.00,8527,8451,8300,25278
1623002400000.00,-49,-47,-26,-122
1623024000000.00,12219,12109,11891,36219
1623045600000.00,41509,41066,40280,122855
1623067200000.00,7632,7560,7450,22642
1623088800000.00,-46,-47,-30,-123
1623110400000.00,11141,11029,10843,33013
1623132000000.00,26602,26306,25800,78708
1623153600000.00,7353,7290,7169,21812
1623175200000.00,-49,-46,-25,-120
1623196800000.00,9766,9677,9510,28953
1623218400000.00,41991,41613,40763,124367
1623240000000.00,7913,7841,7699,23453
1623261600000.00,-48,-47,-25,-120
1623283200000.00,11536,11422,11220,34178
1623304800000.00,29729,29353,28832,87914
1623326400000.00,7865,7788,7654,23307
1623348000000.00,-48,-46,-26,-120
1623369600000.00,4225,4179,4127,12531
1623391200000.00,20337,20108,19864,60309
1623412800000.00,8371,8294,8162,24827
1623434400000.00,-48,-47,-24,-119
1623456000000.00,1893,1871,1858,5622
1623477600000.00,14683,14556,14384,43623
1623499200000.00,8472,8395,8240,25107
1623520800000.00,-49,-46,-25,-120
1623542400000.00,11324,11212,11028,33564
1623564000000.00,40349,40037,39255,119641
1623585600000.00,8061,7984,7851,23896
1623607200000.00,-49,-47,-25,-121
1623628800000.00,11984,11865,11650,35499
1623650400000.00,40034,39613,38759,118406
1623672000000.00,7942,7860,7738,23540
1623693600000.00,-47,-46,-26,-119
1623715200000.00,10542,10440,10270,31252
1623736800000.00,41824,41513,40676,124013
1623758400000.00,6801,6750,6632,20183
1623780000000.00,-82,-58,-26,-166
1623801600000.00,11096,10996,10797,32889
1623823200000.00,41284,40868,40022,122174
1623844800000.00,7313,7246,7120,21679
1623866400000.00,-81,-60,-24,-165
1623888000000.00,316,337,360,1013
1623909600000.00,40646,40326,39468,120440
1623931200000.00,8087,8023,7877,23987
1623952800000.00,-50,-47,-25,-122
1623974400000.00,12076,11955,11741,35772
1623996000000.00,14794,14660,14372,43826
1624017600000.00,3525,3485,3406,10416
1624039200000.00,-47,-47,-31,-125
1624060800000.00,1860,1846,1830,5536
1624082400000.00,14632,14497,14201,43330
1624104000000.00,1916,1945,1980,5841
1624125600000.00,-50,-47,-24,-121
1624147200000.00,13363,13252,13010,39625
1624168800000.00,15262,15145,14852,45259
1624190400000.00,6366,6306,6205,18877
1624212000000.00,-50,-46,-25,-121
1624233600000.00,1174,1164,1166,3504
1624255200000.00,7598,7526,7386,22510
1624276800000.00,2572,2590,2616,7778
1624298400000.00,-48,-45,-25,-118
1624320000000.00,3644,3619,3555,10818
1624341600000.00,11345,11270,11031,33646
1624363200000.00,6844,6780,6569,20193
1624384800000.00,12435.66667,12328.66667,12021.66667,36786
1624406400000.00,18027.33333,17877.33333,17474.33333,53379
1624428000000.00,23619,23426,22927,69972
1624449600000.00,2407,2375,2360,7142
1624471200000.00,-48,-45,-25,-118
1624492800000.00,1876,1845,1840,5561
1624514400000.00,17305,17133,16929,51367
1624536000000.00,9982,9929,9819,29730
1624557600000.00,-48,-46,-26,-120
1624579200000.00,910,897,901,2708
1624600800000.00,14921,14798,14507,44226
1624622400000.00,3299,3268,3223,9790
1624644000000.00,-49,-46,-25,-120
1624665600000.00,3575,3540,3495,10610
1624687200000.00,46997,46615,45702,139314
1624708800000.00,3426,3392,3359,10177
1624730400000.00,-49,-46,-25,-120
1624752000000.00,2633,2610,2578,7821
1624773600000.00,23221,23014,22589,68824
1624795200000.00,5360,5334,5291,15985
1624816800000.00,-1,-35,-60,-96
1624838400000.00,5838,5794,5697,17329
1624860000000.00,8694,8624,8463,25781
1624881600000.00,3285,3223,3120,9628
1624903200000.00,-82,-60,-29,-171
1624924800000.00,1070,1100,1149,3319
1624946400000.00,4953,4914,4827,14694
1624968000000.00,519,551,605,1675
1624989600000.00,-52,-46,-19,-117
1625011200000.00,1002,971,957,2930
1625032800000.00,10358,10310,10223,30891
1625054400000.00,4154,4130,4061,12345
1625076000000.00,-49,-46,-26,-121
1625097600000.00,6837,6793,6665,20295
1625119200000.00,46138,45557,44724,136419
1625140800000.00,12001,11906,11681,35588
1625162400000.00,-49,-46,-26,-121
1625184000000.00,4923,4877,4808,14608
1625205600000.00,13931,13813,13561,41305
1625227200000.00,7560,7506,7376,22442
1625248800000.00,-49,-47,-25,-121
1625270400000.00,6617,6563,6451,19631
1625292000000.00,20194,19887,19507,59588
1625313600000.00,3054,3028,2986,9068
1625335200000.00,-49,-47,-25,-121
1625356800000.00,9482,9402,9237,28121
1625378400000.00,16235,16120,15811,48166
1625400000000.00,3838,3801,3742,11381
1625421600000.00,-48,-45,-26,-119
1625443200000.00,4381,4353,4276,13010
1625464800000.00,11051,10969,10744,32764
1625486400000.00,1907,1856,1787,5550
1625508000000.00,-15,-33,-25,-73
1625529600000.00,9116,9035,8882,27033
1625551200000.00,9639,9548,9379,28566
1625572800000.00,9286,9206,9056,27548
1625594400000.00,-85,-62,-24,-171
1625616000000.00,4773,4721,4655,14149
1625637600000.00,27833,27602,27008,82443
1625659200000.00,8862,8796,8630,26288
1625680800000.00,-46,-47,-25,-118
1625702400000.00,9473,9386,9213,28072
1625724000000.00,25201,24971,24491,74663
1625745600000.00,2590,2563,2541,7694
1625767200000.00,-47,-47,-25,-119
1625788800000.00,5225,5166,5094,15485
1625810400000.00,28820,28585,27934,85339
1625832000000.00,7378,7313,7177,21868
1625853600000.00,-48,-48,-24,-120
1625875200000.00,1411,1396,1393,4200
1625896800000.00,8305,8230,8009,24544
1625918400000.00,9050,8956,8812,26818
1625940000000.00,-48,-48,-24,-120
1625961600000.00,14570,14420,14170,43160
1625983200000.00,44221,43768,43196,131185
1626004800000.00,5998,5944,5845,17787
1626026400000.00,-48,-47,-25,-120
1626048000000.00,3871,3837,3786,11494
1626069600000.00,7219,7141,7018,21378
1626091200000.00,4670,4622,4554,13846
1626112800000.00,-48,-47,-25,-120
1626134400000.00,2968,2935,2893,8796
1626156000000.00,12050,11924,11689,35663
1626177600000.00,2874,2844,2813,8531
1626199200000.00,-48,-48,-24,-120
1626220800000.00,1789,1760,1720,5269
1626242400000.00,6025,5981,5860,17866
1626264000000.00,584,588,588,1760
1626285600000.00,-47,-46,-25,-118
1626307200000.00,2992,2966,2923,8881
1626328800000.00,25973,25796,25124,76893
1626350400000.00,2115,2093,2073,6281
1626372000000.00,-46,-47,-26,-119
1626393600000.00,3527,3493,3443,10463
1626415200000.00,45260,44920,44001,134181
1626436800000.00,8410,8342,8196,24948
1626458400000.00,-47,-46,-27,-120
1626480000000.00,3263,3220,3186,9669
1626501600000.00,18625,18469,18189,55283
1626523200000.00,7437,7353,7236,22026
1626544800000.00,-41,-49,-42,-132
1626566400000.00,9212,9135,9061,27408
1626588000000.00,39514,39108,38405,117027
1626609600000.00,7418,7339,7227,21984
1626631200000.00,-46,-48,-28,-122
1626652800000.00,8512,8423,8292,25227
1626674400000.00,41213,40775,39980,121968
1626696000000.00,6749,6672,6567,19988
1626717600000.00,-47,-48,-26,-121
1626739200000.00,8641,8543,8404,25588
1626760800000.00,39726,39304,38568,117598
1626782400000.00,6725,6653,6548,19926
1626804000000.00,-48,-49,-25,-122
1626825600000.00,8357,8272,8131,24760
1626847200000.00,37877,37526,36804,112207
1626868800000.00,6659,6600,6476,19735
1626890400000.00,-46,-47,-30,-123
1626912000000.00,7919,7841,7711,23471
1626933600000.00,39387,38933,38168,116488
1626955200000.00,6842,6764,6647,20253
1626976800000.00,-47,-47,-26,-120
1626998400000.00,8596,8508,8370,25474
1627020000000.00,40042,39671,38898,118611
1627041600000.00,6276,6222,6117,18615
1627063200000.00,-47,-48,-28,-123
1627084800000.00,3614,3580,3537,10731
1627106400000.00,20357,20161,19830,60348
1627128000000.00,4049,4015,3957,12021
1627149600000.00,-49,-47,-24,-120
1627171200000.00,3201,3176,3135,9512
1627192800000.00,37033,36655,36036,109724
1627214400000.00,4614,4576,4504,13694
1627236000000.00,-47,-47,-25,-119
1627257600000.00,2786,2761,2732,8279
1627279200000.00,13229,13073,12864,39166
1627300800000.00,4069,4031,3987,12087
1627322400000.00,-47,-46,-26,-119
1627344000000.00,2185,2165,2147,6497
1627365600000.00,25707,25403,25129,76239
1627387200000.00,2754,2729,2701,8184
1627408800000.00,-47,-46,-26,-119
1627430400000.00,7252,7186,7075,21513
1627452000000.00,26152,25917,25431,77500
1627473600000.00,5415,5363,5281,16059
1627495200000.00,-48,-48,-25,-121
1627516800000.00,8321,8252,8117,24690
1627538400000.00,43271,42939,42183,128393
1627560000000.00,6956,6912,6788,20656
1627581600000.00,-47,-48,-27,-122
1627603200000.00,4533,4491,4434,13458
1627624800000.00,10368,10273,10120,30761
1627646400000.00,1100,1090,1093,3283
1627668000000.00,-48,-47,-25,-120
1627689600000.00,7647,7578,7458,22683
1627711200000.00,18051,17886,17569,53506
1627732800000.00,7887,7813,7696,23396
1627754400000.00,-45,-46,-29,-120
1627776000000.00,1900,1884,1867,5651
1627797600000.00,13128,13024,12797,38949
1627819200000.00,3648,3619,3562,10829
1627840800000.00,-46,-47,-27,-120
1627862400000.00,2272,2245,2228,6745
1627884000000.00,8415,8338,8197,24950
1627905600000.00,2967,2938,2902,8807
1627927200000.00,-47,-46,-26,-119
1627948800000.00,4725,4667,4612,14004
1627970400000.00,36597,36173,35881,108651
1627992000000.00,3061,3021,2991,9073
1628013600000.00,-47,-47,-26,-120
1628035200000.00,6953,6888,6786,20627
1628056800000.00,16809,16658,16346,49813
1628078400000.00,383,376,391,1150
1628100000000.00,-48,-47,-27,-122
1628121600000.00,6012,5953,5867,17832
1628143200000.00,44634,44206,43393,132233
1628164800000.00,2998,2928,2840,8766
1628186400000.00,-48,-47,-27,-122
1628208000000.00,850.1666667,847.8333333,863.5,2561.5
1628229600000.00,1748.333333,1742.666667,1754,5245
1628251200000.00,2646.5,2637.5,2644.5,7928.5
1628272800000.00,3544.666667,3532.333333,3535,10612
1628294400000.00,4442.833333,4427.166667,4425.5,13295.5
1628316000000.00,5341,5322,5316,15979
1628337600000.00,1274,1262,1259,3795
1628359200000.00,-49,-48,-27,-124
1628380800000.00,-48,-49,-26,-123
1628402400000.00,122.6666667,119.6060606,139.7272727,382
1628424000000.00,293.3333333,288.2121212,305.4545455,887
1628445600000.00,464,456.8181818,471.1818182,1392
1628467200000.00,634.6666667,625.4242424,636.9090909,1897
1628488800000.00,805.3333333,794.030303,802.6363636,2402
1628510400000.00,976,962.6363636,968.3636364,2907
1628532000000.00,1146.666667,1131.242424,1134.090909,3412
1628553600000.00,1317.333333,1299.848485,1299.818182,3917
1628575200000.00,1488,1468.454545,1465.545455,4422
1628596800000.00,1658.666667,1637.060606,1631.272727,4927
1628618400000.00,1829.333333,1805.666667,1797,5432
1628640000000.00,2000,1974.272727,1962.727273,5937
1628661600000.00,2170.666667,2142.878788,2128.454545,6442
1628683200000.00,2341.333333,2311.484848,2294.181818,6947
1628704800000.00,2512,2480.090909,2459.909091,7452
1628726400000.00,2682.666667,2648.69697,2625.636364,7957
1628748000000.00,2853.333333,2817.30303,2791.363636,8462
1628769600000.00,3024,2985.909091,2957.090909,8967
1628791200000.00,3194.666667,3154.515152,3122.818182,9472
1628812800000.00,3365.333333,3323.121212,3288.545455,9977
1628834400000.00,3536,3491.727273,3454.272727,10482
1628856000000.00,3706.666667,3660.333333,3620,10987
1628877600000.00,3877.333333,3828.939394,3785.727273,11492
1628899200000.00,4048,3997.545455,3951.454545,11997
1628920800000.00,4218.666667,4166.151515,4117.181818,12502
1628942400000.00,4389.333333,4334.757576,4282.909091,13007
1628964000000.00,4560,4503.363636,4448.636364,13512
1628985600000.00,4730.666667,4671.969697,4614.363636,14017
1629007200000.00,4901.333333,4840.575758,4780.090909,14522
1629028800000.00,5072,5009.181818,4945.818182,15027
1629050400000.00,5242.666667,5177.787879,5111.545455,15532
1629072000000.00,5413.333333,5346.393939,5277.272727,16037
1629093600000.00,5584,5515,5443,16542
1629115200000.00,1497,1472,1479,4448
1629136800000.00,-47,-48,-27,-122
1629158400000.00,7514,7429,7319,22262
1629180000000.00,10998,10876,10706,32580
1629201600000.00,213,203,231,647
1629223200000.00,-47,-47,-27,-121
1629244800000.00,1135,1124,1125,3384
1629266400000.00,9322,9232,9075,27629
1629288000000.00,868,858,864,2590
1629309600000.00,-48,-47,-26,-121
1629331200000.00,3583,3557,3507,10647
1629352800000.00,12352,12220,12002,36574
1629374400000.00,3107,3076,3039,9222
1629396000000.00,-47,-47,-27,-121
1629417600000.00,1607,1591,1583,4781
1629439200000.00,11648,11539,11324,34511
1629460800000.00,3730,3685,3645,11060
1629482400000.00,-48,-47,-26,-121
1629504000000.00,5319,5239,5182,15740
1629525600000.00,31074,30749,30246,92069
1629547200000.00,2127,2091,2089,6307
1629568800000.00,-47,-48,-27,-122
1629590400000.00,1486,1463,1462,4411
1629612000000.00,12329,12188,12003,36520
1629633600000.00,724,713,726,2163
1629655200000.00,-84,-62,-28,-174
1629676800000.00,776,770,774,2320
1629698400000.00,18465,18320,17835,54620
1629720000000.00,2929,2895,2864,8688
1629741600000.00,-48,-48,-28,-124
1629763200000.00,4314,4259,4211,12784
1629784800000.00,41467,40947,40594,123008
1629806400000.00,2512,2456,2414,7382
1629828000000.00,-47,-47,-27,-121
1629849600000.00,4602,4553,4484,13639
1629871200000.00,36194,35832,35168,107194
1629892800000.00,2091,2068,2043,6202
1629914400000.00,-86,-61,-27,-174
1629936000000.00,2793,2754,2732,8279
1629957600000.00,13040,12895,12668,38603
1629979200000.00,1390,1371,1366,4127
1630000800000.00,-47,-46,-27,-120
1630022400000.00,4404,4349,4293,13046
1630044000000.00,24035,23775,23321,71131
1630065600000.00,1692,1665,1661,5018
1630087200000.00,-47,-46,-26,-119
1630108800000.00,2940,2917,2884,8741
1630130400000.00,45038,44547,44172,133757
1630152000000.00,1529,1468,1415,4412
1630173600000.00,-47,-48,-27,-122
1630195200000.00,1745,1723,1712,5180
1630216800000.00,13595,13438,13211,40244
1630238400000.00,191,189,206,586
1630260000000.00,-97,-58,7,-148
1630281600000.00,770,761,765,2296
1630303200000.00,20782,20586,20189,61557
1630324800000.00,794,789,787,2370
1630346400000.00,-45,-46,-28,-119
1630368000000.00,3299,3253,3180,9732
1630389600000.00,42076,41709,40874,124659
1630411200000.00,1137,1130,1120,3387
1630432800000.00,-47,-47,-28,-122
1630454400000.00,759,746,756,2261
1630476000000.00,13083,12917,12699,38699
1630497600000.00,819,808,817,2444
1630519200000.00,-47,-47,-28,-122
1630540800000.00,1686,1675,1664,5025
1630562400000.00,40045,39718,38944,118707
1630584000000.00,1110,1099,1100,3309
1630605600000.00,-47,-47,-27,-121
1630627200000.00,2997,2968,2932,8897
1630648800000.00,34346,34086,33406,101838
1630670400000.00,973,961,965,2899
1630692000000.00,-47,-49,-28,-124
1630713600000.00,3136,3089,3066,9291
1630735200000.00,29636,29335,28982,87953
1630756800000.00,1262,1203,1157,3622
1630778400000.00,-48,-48,-27,-123
1630800000000.00,3084,3061,3059,9204
1630821600000.00,36327,35947,35512,107786
1630843200000.00,657,651,664,1972
1630864800000.00,-81,-61,-29,-171
1630886400000.00,2865,2824,2799,8488
1630908000000.00,34475,34113,33473,102061
1630929600000.00,436,421,445,1302
1630951200000.00,-47,-48,-27,-122
1630972800000.00,-46,-47,-26,-119
1630994400000.00,31946,31666,31085,94697
1631016000000.00,476,465,485,1426
1631037600000.00,-45,-47,-27,-119
1631059200000.00,2442,2411,2386,7239
1631080800000.00,31553,31297,30688,93538
1631102400000.00,340,333,350,1023
1631124000000.00,-47,-47,-25,-119
1631145600000.00,991,974,979,2944
1631167200000.00,30853,30561,29947,91361
1631188800000.00,133,132,154,419
1631210400000.00,-47,-47,-26,-120
1631232000000.00,852,843,853,2548
1631253600000.00,10938,10830,10653,32421
1631275200000.00,527,515,520,1562
1631296800000.00,-47,-48,-26,-121
1631318400000.00,786,769,785,2340
1631340000000.00,19384,19179,18871,57434
1631361600000.00,189,182,204,575
1631383200000.00,-48,-47,-26,-121
1631404800000.00,1601,1581,1577,4759
1631426400000.00,21045,20865,20481,62391
1631448000000.00,-18,-24,3,-39
1631469600000.00,-48,-47,-26,-121
1631491200000.00,2619,2588,2566,7773
1631512800000.00,19560,19344,19027,57931
1631534400000.00,190,182,206,578
1631556000000.00,-48,-47,-25,-120
1631577600000.00,1809,1785,1776,5370
1631599200000.00,41360,40886,40234,122480
1631620800000.00,161,159,177,497
1631642400000.00,-46,-48,-26,-120
1631664000000.00,551,547,558,1656
1631685600000.00,5505,5442,5372,16319
1631707200000.00,-7,-34,-22,-63
1631728800000.00,-96,-56,9,-143
1631750400000.00,1202,1192,1187,3581
1631772000000.00,12582,12452,12234,37268
1631793600000.00,-80,-44,18,-106
1631815200000.00,-46,-46,-31,-123
1631836800000.00,1075,1056,1054,3185
1631858400000.00,9096,8989,8844,26929
1631880000000.00,-42,-45,-26,-113
1631901600000.00,-50,-45,-26,-121
1631923200000.00,2000,1981,1972,5953
1631944800000.00,28866,28594,28079,85539
1631966400000.00,42,47,66,155
1631988000000.00,-50,-46,-25,-121
1632009600000.00,926,921,928,2775
1632031200000.00,15558,15422,15147,46127
1632052800000.00,-41,-46,-24,-111
1632074400000.00,-48,-46,-25,-119
1632096000000.00,-40,-44,-23,-107
1632117600000.00,19137,18967,18630,56734
1632139200000.00,-42,-47,-23,-112
1632160800000.00,-48,-48,-25,-121
1632182400000.00,970,960,960,2890
1632204000000.00,31342,31050,30503,92895
1632225600000.00,-46,-47,-25,-118
1632247200000.00,-47,-46,-25,-118
1632268800000.00,1145,1131,1133,3409
1632290400000.00,27716,27459,26956,82131
1632312000000.00,-40,-46,-24,-110
1632333600000.00,-46,-47,-25,-118
1632355200000.00,795,777,789,2361
1632376800000.00,30779,30411,30184,91374
1632398400000.00,-32,-47,-41,-120
1632420000000.00,-47,-47,-26,-120
1632441600000.00,1102,1088,1088,3278
1632463200000.00,14165,14004,13923,42092
1632484800000.00,-44,-47,-28,-119
1632506400000.00,-47,-46,-26,-119
1632528000000.00,814,807,812,2433
1632549600000.00,28049,27771,27301,83121
1632571200000.00,-46,-46,-27,-119
1632592800000.00,-47,-47,-26,-120
1632614400000.00,307,306,321,934
