Time,Power - Solarpanels - L1,Power - Solarpanels - L2,Power - Solarpanels - L3,Total solar production
1605722400000.00,-46,-35,-21,-102
1605744000000.00,-47,-33,-21,-101
1605765600000.00,4209,4196,4109,12514
1605787200000.00,-46,-34,-22,-102
1605808800000.00,-47,-34,-22,-103
1605830400000.00,-46,-34,-21,-101
1605852000000.00,13178,13099,12941,39218
1605873600000.00,-45,-34,-21,-100
1605895200000.00,-42,-35,-33,-110
1605916800000.00,-44,-34,-21,-99
1605938400000.00,3444,3432,3371,10247
1605960000000.00,-45,-34,-21,-100
1605981600000.00,-100,-32,27,-105
1606003200000.00,-45,-34,-21,-100
1606024800000.00,4502,4477,4383,13362
1606046400000.00,-45,-34,-21,-100
1606068000000.00,-46,-34,-21,-101
1606089600000.00,-45,-34,-22,-101
1606111200000.00,5315,5284,5198,15797
1606132800000.00,-47,-34,-22,-103
1606154400000.00,-103,-32,30,-105
1606176000000.00,-45,-34,-21,-100
1606197600000.00,8271,8227,8093,24591
1606219200000.00,-46,-35,-22,-103
1606240800000.00,-46,-34,-21,-101
1606262400000.00,-46,-34,-22,-102
1606284000000.00,8422,8369,8240,25031
1606305600000.00,-45,-34,-22,-101
1606327200000.00,-45,-34,-22,-101
1606348800000.00,-46,-33,-23,-102
1606370400000.00,6618,6590,6460,19668
1606392000000.00,-46,-35,-22,-103
1606413600000.00,-101,-31,30,-102
1606435200000.00,-45,-33,-22,-100
1606456800000.00,2422,2379,2328,7129
1606478400000.00,-86,-60,-22,-168
1606500000000.00,-47,-45,-23,-115
1606521600000.00,-46,-43,-23,-112
1606543200000.00,11451,11328,11129,33908
1606564800000.00,-47,-45,-23,-115
1606586400000.00,-48,-45,-24,-117
1606608000000.00,-47,-44,-23,-114
1606629600000.00,1845,1833,1813,5491
1606651200000.00,-103,-53,33,-123
1606672800000.00,-80,-59,-22,-161
1606694400000.00,-46,-44,-23,-113
1606716000000.00,1714,1686,1685,5085
1606737600000.00,-105,-53,32,-126
1606759200000.00,-47,-44,-23,-114
1606780800000.00,-47,-45,-23,-115
1606802400000.00,6662,6599,6503,19764
1606824000000.00,-47,-45,-23,-115
1606845600000.00,-46,-44,-24,-114
1606867200000.00,-47,-44,-23,-114
1606888800000.00,4405,4361,4297,13063
1606910400000.00,-92,-57,4,-145
1606932000000.00,-5,-33,-47,-85
1606953600000.00,-3,-33,-45,-81
1606975200000.00,1375,1403,1445,4223
1606996800000.00,-47,-46,-23,-116
1607018400000.00,-47,-45,-22,-114
1607040000000.00,-46,-45,-22,-113
1607061600000.00,3006,2970,2949,8925
1607083200000.00,-40,-46,-39,-125
1607104800000.00,-72,-41,34,-79
1607126400000.00,-48,-44,-23,-115
1607148000000.00,4501,4464,4393,13358
1607169600000.00,-46,-45,-23,-114
1607191200000.00,-46,-45,-24,-115
1607212800000.00,-46,-45,-23,-114
1607234400000.00,9163,9082,8915,27160
1607256000000.00,-47,-44,-23,-114
1607277600000.00,-48,-45,-23,-116
1607299200000.00,-46,-44,-22,-112
1607320800000.00,3060,3032,3000,9092
1607342400000.00,-49,-43,-19,-111
1607364000000.00,-49,-43,-20,-112
1607385600000.00,-49,-44,-19,-112
1607407200000.00,11199,11079,10903,33181
1607428800000.00,-48,-44,-21,-113
1607450400000.00,-63,-42,13,-92
1607472000000.00,-50,-48,-21,-119
1607493600000.00,2619,2589,2565,7773
1607515200000.00,-46,-45,-23,-114
1607536800000.00,-46,-45,-23,-114
1607558400000.00,-45,-43,-22,-110
1607580000000.00,7570,7483,7366,22419
1607601600000.00,-47,-44,-22,-113
1607623200000.00,-59,-52,-22,-133
1607644800000.00,-70,-47,16,-101
1607666400000.00,1274,1264,1263,3801
1607688000000.00,-47,-45,-22,-114
1607709600000.00,-47,-45,-22,-114
1607731200000.00,-99,-54,24,-129
1607752800000.00,2121,2104,2083,6308
1607774400000.00,-47,-44,-23,-114
1607796000000.00,-46,-44,-23,-113
1607817600000.00,-46,-44,-23,-113
1607839200000.00,5137,5086,5006,15229
1607860800000.00,-47,-44,-22,-113
1607882400000.00,-45,-44,-23,-112
1607904000000.00,-48,-45,-22,-115
1607925600000.00,14255,14118,13882,42255
1607947200000.00,-46,-44,-22,-112
1607968800000.00,-47,-45,-24,-116
1607990400000.00,-45,-44,-23,-112
1608012000000.00,7057,6990,6878,20925
1608033600000.00,-47,-45,-24,-116
1608055200000.00,-91,-57,5,-143
1608076800000.00,-47,-46,-22,-115
1608098400000.00,6085,6016,5927,18028
1608120000000.00,-89,-56,3,-142
1608141600000.00,-102,-54,31,-125
1608163200000.00,-47,-46,-22,-115
1608184800000.00,3618,3584,3529,10731
1608206400000.00,-96,-57,19,-134
1608228000000.00,-102,-55,28,-129
1608249600000.00,-43,-44,-30,-117
1608271200000.00,11547,11442,11247,34236
1608292800000.00,-47,-47,-22,-116
1608314400000.00,-48,-46,-23,-117
1608336000000.00,-45,-43,-22,-110
1608357600000.00,5530,5482,5395,16407
1608379200000.00,-47,-45,-21,-113
1608400800000.00,-46,-46,-23,-115
1608422400000.00,-46,-44,-24,-114
1608444000000.00,5912,5872,5762,17546
1608465600000.00,-103,-52,32,-123
1608487200000.00,-47,-46,-23,-116
1608508800000.00,-45,-44,-23,-112
1608530400000.00,2183,2172,2146,6501
1608552000000.00,-66,-55,-21,-142
1608573600000.00,-47,-46,-23,-116
1608595200000.00,-46,-45,-23,-114
1608616800000.00,5707,5643,5553,16903
1608638400000.00,-46,-45,-23,-114
1608660000000.00,-46,-46,-24,-116
1608681600000.00,-46,-44,-22,-112
1608703200000.00,997,945,893,2835
1608724800000.00,-48,-46,-21,-115
1608746400000.00,-48,-47,-23,-118
1608768000000.00,-46,-45,-22,-113
1608789600000.00,3877,3851,3790,11518
1608811200000.00,-45,-44,-22,-111
1608832800000.00,-47,-45,-23,-115
1608854400000.00,-43,-47,-31,-121
